,session_id,device,data loss (%),lost frames (#),total frames (#),loss events (#),total loss time (s),avg loss time (s),duplicates (#),obt. duration (h:m:s),exp. duration (h:m:s),Seq Rest (#),Seq Loss (#),Seq Loss (%),Total Seq Loss (s),exp sampling_rate (Hz),avg sampling period (s),std sampling period (s),max sampling period (s),min sampling period (s),buffer full (#),buffer lost frames (#),total time buffer full (s),buffer full avg (ts),buffer full max (ts),buffer full min (ts),time resets (#),time resets max (ts),time resets min (ts),time resets avg (ts),time resets std (ts)
0,1,8809,5.53,1280,23140,1,12.8,12.8 +- 0.0,0,0.0:3.0:38.599999999999994,0.0:4.0:28.772120714187622,1,1280,5.53,12.8,100,0.01219,0.32418,47.9398,0.00939,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
1,1,8804,5.75,1320,22940,1,13.2,13.2 +- 0.0,0,0.0:3.0:36.19999999999999,0.0:4.0:28.3019278049469,1,1320,5.75,13.2,100,0.01228,0.33568,49.36797,0.00979,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
2,1,8821,5.95,1360,22840,1,13.6,13.6 +- 0.0,0,0.0:3.0:34.80000000000001,0.0:4.0:27.95543098449707,1,1360,5.95,13.6,100,0.01242,0.35518,52.06511,0.00979,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
3,1,8810,5.98,1380,23060,1,13.8,13.8 +- 0.0,0,0.0:3.0:36.80000000000001,0.0:4.0:27.66603970527649,1,1380,5.98,13.8,100,0.01225,0.33089,48.73138,0.00956,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
4,1,8811,6.09,1400,22980,1,14.0,14.0 +- 0.0,0,0.0:3.0:35.80000000000001,0.0:4.0:27.653300046920776,1,1400,6.09,14.0,100,0.0123,0.3378,49.63302,0.00942,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
5,1,8806,6.18,1400,22640,1,14.0,14.0 +- 0.0,0,0.0:3.0:32.400000000000006,0.0:4.0:27.629032850265503,1,1400,6.18,14.0,100,0.01247,0.3596,52.4185,0.00979,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
6,1,8808,6.12,1400,22860,1,14.0,14.0 +- 0.0,0,0.0:3.0:34.599999999999994,0.0:4.0:27.62815284729004,1,1400,6.12,14.0,100,0.01236,0.34581,50.66823,0.00951,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
7,1,8820,6.1,1400,22960,1,14.0,14.0 +- 0.0,0,0.0:3.0:35.599999999999994,0.0:4.0:27.620420932769775,1,1400,6.1,14.0,100,0.01236,0.34707,50.97211,0.00944,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
8,1,8826,6.04,1400,23160,1,14.0,14.0 +- 0.0,0,0.0:3.0:37.599999999999994,0.0:4.0:27.615599870681763,1,1400,6.04,14.0,100,0.01227,0.33512,49.44479,0.00927,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
9,1,8805,6.11,1400,22920,1,14.0,14.0 +- 0.0,0,0.0:3.0:35.19999999999999,0.0:4.0:27.47305393218994,1,1400,6.11,14.0,100,0.01231,0.33837,49.6481,0.00935,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
10,1,8807,6.18,1420,22960,1,14.2,14.2 +- 0.0,0,0.0:3.0:35.400000000000006,0.0:4.0:27.385143756866455,1,1420,6.18,14.2,100,0.01229,0.33609,49.337,0.00946,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
11,1,8803,6.25,1420,22720,1,14.2,14.2 +- 0.0,0,0.0:3.0:33.0,0.0:4.0:27.372899770736694,1,1420,6.25,14.2,100,0.0124,0.3505,51.16343,0.00963,0,0,0.0,0 +- 0,0,0,0,0,0,0,0
Average,1.00 ± 0.00,---,6.02 ± 0.20,1381.67 ± 42.18,22931.67 ± 153.61,1.00 ± 0.00,13.82 ± 0.42,---,0.00 ± 0.00,---,---,1.00 ± 0.00,1381.67 ± 42.18,6.02 ± 0.20,13.82 ± 0.42,100.00 ± 0.00,0.01 ± 0.00,0.34 ± 0.01,50.12 ± 1.35,0.01 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,---,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
