,session_id,device,data loss (%),lost frames (#),total frames (#),loss events (#),total loss time (s),avg loss time (s),duplicates (#),obt. duration (h:m:s),exp. duration (h:m:s),Seq Rest (#),Seq Loss (#),Seq Loss (%),Total Seq Loss (s),exp sampling_rate (Hz),avg sampling period (s),std sampling period (s),max sampling period (s),min sampling period (s),buffer full (#),buffer lost frames (#),total time buffer full (s),buffer full avg (ts),buffer full max (ts),buffer full min (ts),time resets (#),time resets max (ts),time resets min (ts),time resets avg (ts),time resets std (ts)
0,1,E8:9F:6D:D1:25:42,0.0,32,934912,10,0.35536199999478413,0.03554 +- 0.01164,0,2.0:35.0:49.1200000000008,2.0:35.0:56.90348482131958,0,0,0.0,0.0,100,0.01,9e-05,0.05845,0.0046,10,32,0.35536199999478413,0.03554 +- 0.01164,0.05845,0.02373,0,0,0,0,0
1,1,7C:9E:BD:B5:A0:8A,0.0,14,934694,6,0.1562770000018645,0.02605 +- 0.00327,0,2.0:35.0:46.94000000000051,2.0:35.0:56.90348482131958,0,0,0.0,0.0,100,0.01,5e-05,0.03068,0.00321,6,14,0.1562770000018645,0.02605 +- 0.00327,0.03068,0.02373,0,0,0,0,0
2,1,E8:9F:6D:D2:D4:1A,0.01,58,934678,18,0.6632449999960954,0.03685 +- 0.01155,0,2.0:35.0:46.780000000000655,2.0:35.0:56.90348482131958,0,0,0.0,0.0,100,0.01,0.00013,0.05845,0.00238,18,58,0.6632449999960954,0.03685 +- 0.01155,0.05845,0.02373,0,0,0,0,0
3,1,E8:9F:6D:D2:64:3A,0.02,226,934546,42,2.386080999996011,0.05681 +- 0.04605,0,2.0:35.0:45.45999999999913,2.0:35.0:56.90348482131958,0,0,0.0,0.0,100,0.01,0.00044,0.22208,0.00321,42,226,2.386080999996011,0.05681 +- 0.04605,0.22208,0.0233,0,0,0,0,0
4,1,7C:9E:BD:B5:98:1A,0.0,44,934404,13,0.48211700000683777,0.03709 +- 0.01796,0,2.0:35.0:44.04000000000087,2.0:35.0:56.90348482131958,0,0,0.0,0.0,100,0.01,0.00012,0.08623,0.00155,13,44,0.48211700000683777,0.03709 +- 0.01796,0.08623,0.02373,0,0,0,0,0
5,2,E8:9F:6D:D1:25:42,0.43,9219,2162199,530,94.70457299999936,0.17869 +- 0.16607,0,6.0:0.0:21.9900000000016,6.0:0.0:25.778727054595947,0,0,0.0,0.0,100,0.01004,0.00371,1.05167,9e-05,530,9219,94.70457299999936,0.17869 +- 0.16607,1.05167,0.02286,0,0,0,0,0
6,2,E8:9F:6D:D2:D4:1A,0.07,1431,2161771,109,14.831987999998944,0.13607 +- 0.16205,0,6.0:0.0:17.709999999999127,6.0:0.0:25.778727054595947,0,0,0.0,0.0,100,0.01001,0.00146,0.65495,0.0002,109,1431,14.831987999998944,0.13607 +- 0.16205,0.65495,0.02329,0,0,0,0,0
7,2,7C:9E:BD:B5:A0:8A,0.05,1180,2161260,96,12.215046000013142,0.12724 +- 0.1599,0,6.0:0.0:12.599999999998545,6.0:0.0:25.778727054595947,0,0,0.0,0.0,100,0.01001,0.00132,0.71756,0.00154,96,1180,12.215046000013142,0.12724 +- 0.1599,0.71756,0.02296,0,0,0,0,0
8,2,7C:9E:BD:B5:98:1A,0.07,1467,2161367,158,15.294227000002579,0.0968 +- 0.14498,0,6.0:0.0:13.669999999998254,6.0:0.0:25.778727054595947,0,2,0.0,0.03,100,0.01001,0.00145,0.74412,0.00105,157,1465,15.264227000000105,0.09722 +- 0.14534,0.74412,0.02242,0,0,0,0,0
9,2,E8:9F:6D:D2:64:3A,0.02,524,2156124,149,5.811650000001919,0.039 +- 0.01741,0,5.0:59.0:21.2400000000016,6.0:0.0:25.778727054595947,0,2,0.0,0.03,100,0.01,0.00029,0.10707,0.00071,148,522,5.781650000001719,0.03907 +- 0.01745,0.10707,0.0233,0,0,0,0,0
Average,1.50 ± 0.53,---,0.07 ± 0.13,1419.50 ± 2804.06,1547595.50 ± 646106.82,113.10 ± 157.63,14.69 ± 28.78,---,0.00 ± 0.00,---,---,0.00 ± 0.00,0.40 ± 0.84,0.00 ± 0.00,0.01 ± 0.01,100.00 ± 0.00,0.01 ± 0.00,0.00 ± 0.00,0.37 ± 0.38,0.00 ± 0.00,112.90 ± 157.58,1419.10 ± 2804.12,14.68 ± 28.78,---,0.37 ± 0.38,0.02 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
